# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  112 180.61086 20.122952 11.08 0.04  -12.14 0.07   -7.95  0.05   0.53   0.43  t    GaiaDR2 "Gaia DR2 3999244370876485504" 180.6109  20.122986 9.689096  10.017692 9.189956 
  113 180.88623 17.471071 10.94 0.06  -11.76 0.11   -9.3   0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 3925960409056374016" 180.88629 17.471111 14.454164 15.731987 13.337489
  114 181.09387 24.021381 11.71 0.1   -12.35 0.15   -9.4   0.12   0.0    0.0   t    GaiaDR2 "Gaia DR2 4002671479900209536" 181.09392 24.021421 15.737822 17.338787 14.513965
  115 181.09692 24.820646 12.14 0.05  -12.54 0.07   -9.89  0.05   -0.44  0.44  t    GaiaDR2 "Gaia DR2 4002921034680029056" 181.09698 24.820688 9.877399  10.244589 9.345027 
  116 181.35292 18.916862 11.12 0.07  -11.52 0.1    -9.73  0.07   0.0    0.0   t    GaiaDR2 "Gaia DR2 3950889739272160768" 181.35297 18.916904 14.713852 16.094234 13.540233
  117 181.79991 26.061172 11.86 0.11  -12.19 0.14   -9.24  0.12   0.0    0.0   t    GaiaDR2 "Gaia DR2 4003516420226625792" 181.79997 26.061213 16.053488 17.704544 14.821367
  118 181.98068 1.364933  11.43 0.16  -12.33 0.28   -5.75  0.17   0.0    0.0   t    GaiaDR2 "Gaia DR2 3699537189274433408" 181.98074 1.364958  16.457783 18.189054 15.199339
  119 181.99043 25.586466 10.78 0.11  -9.93  0.16   -8.34  0.12   -6.08  3.76  t    GaiaDR2 "Gaia DR2 4003439523132172288" 181.99048 25.5865   11.038483 11.564235 10.358817
  120 182.03835 24.72506  11.74 0.14  -11.72 0.21   -7.99  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 4002824896132242816" 182.0384  24.725094 16.500357 18.499485 15.179626
  121 182.08101 21.082634 11.57 0.09  -12.0  0.13   -9.72  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 3951753543094717184" 182.08105 21.082676 16.019648 17.627483 14.766696
  122 182.69121 21.101427 11.36 0.07  -11.77 0.1    -8.47  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 3951789723899244800" 182.69125 21.101463 14.727535 16.03305  13.60035 
  123 182.692   27.281466 11.51 0.12  -12.35 0.15   -9.49  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 4006703041146508416" 182.69206 27.281507 5.977178  6.030618  5.843238 
  124 182.89645 29.378992 11.19 0.04  -11.8  0.06   -8.84  0.05   0.91   0.83  t    GaiaDR2 "Gaia DR2 4013188785360910336" 182.8965  29.37903  10.994011 11.495173 10.337636
  125 183.43285 22.887953 11.55 0.13  -13.53 0.19   -8.45  0.15   6.59   1.43  t    GaiaDR2 "Gaia DR2 4001595504693460480" 183.43292 22.887989 7.975817  8.182669  7.613647 
  126 183.61047 23.233988 10.99 0.05  -11.28 0.09   -8.92  0.07   0.0    0.0   t    GaiaDR2 "Gaia DR2 4001643230370061056" 183.61052 23.234024 14.4736   15.751493 13.345751
  127 183.81815 29.350716 11.44 0.07  -11.78 0.12   -9.28  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 4013361447341974912" 183.8182  29.350756 15.383797 16.92455  14.175254
  128 184.33119 14.065791 11.71 0.04  -12.45 0.08   -7.53  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 3921056071800717440" 184.33125 14.065823 13.891661 15.117241 12.792488
  129 184.4737  20.376707 12.16 0.2   -13.98 0.23   -8.02  0.19   0.0    0.0   t    GaiaDR2 "Gaia DR2 3950758897388449152" 184.47377 20.376741 15.312557 16.826675 14.014701
  130 184.62108 32.748856 11.95 0.06  -13.01 0.08   -9.28  0.1    0.0    0.0   t    GaiaDR2 "Gaia DR2 4016309615972923648" 184.62115 32.748898 6.633513  6.745343  6.406171 
  131 185.06027 25.435343 10.83 0.07  -11.85 0.11   -8.66  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 4008487999490702720" 185.06033 25.435379 15.058723 16.496576 13.884404
  132 185.92422 26.60146  10.82 0.09  -12.96 0.14   -9.5   0.09   8.63   4.6   t    GaiaDR2 "Gaia DR2 4008681513537028480" 185.92429 26.6015   9.166266  9.476928  8.682555 
  133 186.18143 30.297255 11.72 0.04  -11.72 0.06   -10.26 0.05   0.0    0.0   t    GaiaDR2 "Gaia DR2 4011987813721043456" 186.18149 30.297298 13.898965 15.072112 12.82489 
  134 186.5974  13.604766 11.38 0.15  -12.22 0.28   -7.86  0.23   0.0    0.0   t    GaiaDR2 "Gaia DR2 3908820878205220352" 186.59744 13.6048   17.160318 19.069468 15.857645
